Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
30,30,30,30.0,0,,,,0,12,0,,,10.3,,,118,,,329,,1,0,1.6,,5.6,,2022-04-17T13:15:00Z,,,,78,,,19,0,,0,0,,0,33,0,23276,,,,1,1,0.0,2,-532,829,1361,56,False,,0,2,3,33,2021-22,,,,,,Dwight_McNeil
31,31,31,31.0,0,,,,0,12,1,,,21.3,,,118,,,292,,0,0,6.8,,22.2,,2022-04-21T18:45:00Z,,,,86,,,16,0,,0,0,,0,33,0,23276,,,,0,2,24.0,3,-532,829,1361,56,True,,0,2,2,33,2021-22,,,,,,Dwight_McNeil
32,32,32,32.0,0,,,,0,8,1,,,33.0,,,118,,,334,,0,0,7.6,,18.4,,2022-04-24T13:00:00Z,,,,84,,,20,0,,0,0,,0,34,0,21815,,,,0,1,25.0,3,-1458,409,1867,55,True,,0,2,3,34,2021-22,,,,,,Dwight_McNeil
33,33,33,33.0,0,,,,0,10,0,,,17.8,,,118,,,348,,1,0,5.7,,8.8,,2022-04-30T14:00:00Z,,,,90,,,18,0,,0,0,,0,35,0,23083,,,,2,1,30.0,2,1029,2157,1128,55,False,,0,2,2,35,2021-22,,,,,,Dwight_McNeil
34,34,34,34.0,0,,,,0,18,0,,,47.6,,,118,,,354,,3,0,11.1,,31.2,,2022-05-07T14:00:00Z,,,,90,,,2,0,,0,0,,0,36,0,21602,,,,3,1,32.0,2,-1242,1222,2464,55,True,,0,2,2,36,2021-22,,,,,,Dwight_McNeil
35,35,35,35.0,0,,,,0,20,0,,,40.0,,,118,,,367,,1,0,8.3,,20.6,,2022-05-15T11:00:00Z,,,,90,,,17,0,,0,0,,0,37,0,23282,,,,0,1,22.0,2,156,1541,1385,55,False,,0,2,4,37,2021-22,,,,,,Dwight_McNeil
36,36,36,36.0,0,,,,0,6,0,,,19.3,,,118,,,171,,1,0,3.6,,6.2,,2022-05-19T19:00:00Z,,,,78,,,2,0,,0,0,,0,37,0,23282,,,,1,1,10.0,2,156,1541,1385,55,False,,0,2,2,37,2021-22,,,,,,Dwight_McNeil
37,37,37,37.0,0,,,,0,0,0,,,0.0,,,118,,,374,,2,0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90,,,14,0,,0,0,,0,38,0,21655,,,,2,1,0.0,2,-401,905,1306,55,True,,0,2,2,38,2021-22,,,,,,Dwight_McNeil
0,0,0,0.0,0,,,,0,20,0,,,15.9,,,534,,,3,,1,0,3.3,,14.6,,2022-08-06T16:30:00Z,,,,60,,,6,0,,0,0,,0,1,0,33086,,,,1,0,2.0,2,0,0,0,55,True,,0,2,3,1,2022-23,0.05,0.05,0.0,1.43,1.0,Dwight_McNeil
1,1,1,1.0,0,,,,0,5,0,,,19.5,,,534,,,12,,1,0,4.6,,4.0,,2022-08-13T11:30:00Z,,,,63,,,2,0,,0,0,,0,2,0,34015,,,,1,2,22.0,2,-2026,2303,4329,55,False,,0,2,2,2,2022-23,0.1,0.19,0.09,0.43,1.0,Dwight_McNeil
2,2,2,2.0,0,,,,0,4,0,,,2.9,,,534,,,23,,1,0,2.4,,0.6,,2022-08-20T14:00:00Z,,,,33,,,16,0,,0,0,,0,3,0,29498,,,,1,1,20.0,1,-5419,2318,7737,55,True,,0,2,2,3,2022-23,0.01,0.09,0.08,0.63,0.0,Dwight_McNeil
3,3,3,3.0,0,,,,0,9,0,,,16.0,,,534,,,33,,1,0,3.8,,7.8,,2022-08-27T14:00:00Z,,,,85,,,4,0,,0,0,,0,4,0,21573,,,,1,1,14.0,2,-8267,399,8666,54,False,,0,2,3,4,2022-23,0.05,0.13,0.08,2.05,1.0,Dwight_McNeil
4,4,4,4.0,0,,,,0,9,0,,,4.8,,,534,,,45,,1,0,2.8,,22.6,,2022-08-30T19:00:00Z,,,,90,,,11,0,,0,0,,0,5,0,18581,,,,1,1,1.0,2,-3426,440,3866,53,False,,0,2,2,5,2022-23,0.12,0.18,0.06,1.01,1.0,Dwight_McNeil
